symbol,market,exchange,currency,name_kr,name_en,base_slug,ko_slug,en_slug
041960.KQ,KOSDAQ,KRX,KRW,코미팜,Komipharm,komipharm,코미팜-주가-전망,komipharm-stock-forecast
058470.KQ,KOSDAQ,KRX,KRW,리노공업,Leeno Industrial,leeno-industrial,리노공업-주가-전망,leeno-industrial-stock-forecast
060370.KQ,KOSDAQ,KRX,KRW,LS마린솔루션,LS 2,ls-2,LS마린솔루션-주가-전망,ls-2-stock-forecast
417200.KQ,KOSDAQ,KRX,KRW,LS머트리얼즈,LS 3,ls-3,LS머트리얼즈-주가-전망,ls-3-stock-forecast
060250.KQ,KOSDAQ,KRX,KRW,NHN KCP,NHN KCP,nhn-kcp,nhn-kcp-주가-전망,nhn-kcp-stock-forecast
263750.KQ,KOSDAQ,KRX,KRW,펄어비스,Pearl Abyss,pearl-abyss,펄어비스-주가-전망,pearl-abyss-stock-forecast
214450.KQ,KOSDAQ,KRX,KRW,파마리서치,Pharmaresearch,pharmaresearch,파마리서치-주가-전망,pharmaresearch-stock-forecast
074600.KQ,KOSDAQ,KRX,KRW,원익QnC,Qnc,qnc,원익QnC-주가-전망,qnc-stock-forecast
218410.KQ,KOSDAQ,KRX,KRW,RFHIC,RFHIC,rfhic,rfhic-주가-전망,rfhic-stock-forecast
036540.KQ,KOSDAQ,KRX,KRW,SFA반도체,Sfa Semicon,sfa-semicon,SFA반도체-주가-전망,sfa-semicon-stock-forecast
065350.KQ,KOSDAQ,KRX,KRW,신성델타테크,Shinsung Delta Tech,shinsung-delta-tech,신성델타테크-주가-전망,shinsung-delta-tech-stock-forecast
041510.KQ,KOSDAQ,KRX,KRW,에스엠,Sm Entertainment,sm-entertainment,에스엠-주가-전망,sm-entertainment-stock-forecast
253450.KQ,KOSDAQ,KRX,KRW,스튜디오드래곤,Studio Dragon,studio-dragon,스튜디오드래곤-주가-전망,studio-dragon-stock-forecast
006730.KQ,KOSDAQ,KRX,KRW,서부T&D,T And D,t-and-d,서부T-D-주가-전망,t-and-d-stock-forecast
112040.KQ,KOSDAQ,KRX,KRW,위메이드,Wemade,wemade,위메이드-주가-전망,wemade-stock-forecast
041190.KQ,KOSDAQ,KRX,KRW,우리기술투자,Woori Technology Investment,woori-technology-investment,우리기술투자-주가-전망,woori-technology-investment-stock-forecast
000100.KS,KOSPI,KRX,KRW,유한양행,000100,000100,유한양행-주가-전망,000100-stock-forecast
000120.KS,KOSPI,KRX,KRW,CJ대한통운,000120,000120,CJ대한통운-주가-전망,000120-stock-forecast
000150.KS,KOSPI,KRX,KRW,두산,000150,000150,두산-주가-전망,000150-stock-forecast
000240.KS,KOSPI,KRX,KRW,한국앤컴퍼니,000240,000240,한국앤컴퍼니-주가-전망,000240-stock-forecast
000500.KS,KOSPI,KRX,KRW,가온전선,000500,000500,가온전선-주가-전망,000500-stock-forecast
000720.KS,KOSPI,KRX,KRW,현대건설,000720,000720,현대건설-주가-전망,000720-stock-forecast
000810.KS,KOSPI,KRX,KRW,삼성화재,000810,000810,삼성화재-주가-전망,000810-stock-forecast
000880.KS,KOSPI,KRX,KRW,한화,000880,000880,한화-주가-전망,000880-stock-forecast
000990.KS,KOSPI,KRX,KRW,DB하이텍,000990,000990,DB하이텍-주가-전망,000990-stock-forecast
001040.KS,KOSPI,KRX,KRW,CJ,CJ,001040,cj-주가-전망,001040-stock-forecast
001120.KS,KOSPI,KRX,KRW,LX인터내셔널,001120,001120,LX인터내셔널-주가-전망,001120-stock-forecast
001430.KS,KOSPI,KRX,KRW,세아베스틸지주,001430,001430,세아베스틸지주-주가-전망,001430-stock-forecast
001440.KS,KOSPI,KRX,KRW,대한전선,001440,001440,대한전선-주가-전망,001440-stock-forecast
001450.KS,KOSPI,KRX,KRW,현대해상,001450,001450,현대해상-주가-전망,001450-stock-forecast
001720.KS,KOSPI,KRX,KRW,신영증권,001720,001720,신영증권-주가-전망,001720-stock-forecast
001800.KS,KOSPI,KRX,KRW,오리온홀딩스,001800,001800,오리온홀딩스-주가-전망,001800-stock-forecast
002790.KS,KOSPI,KRX,KRW,아모레퍼시픽홀딩스,002790,002790,아모레퍼시픽홀딩스-주가-전망,002790-stock-forecast
003230.KS,KOSPI,KRX,KRW,삼양식품,003230,003230,삼양식품-주가-전망,003230-stock-forecast
003490.KS,KOSPI,KRX,KRW,대한항공,003490,003490,대한항공-주가-전망,003490-stock-forecast
003530.KS,KOSPI,KRX,KRW,한화투자증권,003530,003530,한화투자증권-주가-전망,003530-stock-forecast
003540.KS,KOSPI,KRX,KRW,대신증권,003540,003540,대신증권-주가-전망,003540-stock-forecast
